Acanthus,Almond,Abajo,abelia,beak,can,Abelia,abbottiae,neomexicanus,andrewsii,americana
Adder's-tongue,Cherry,abata,abobe,agoseris,beard,cueva,Abelmoschus,abitibiana,roetteri,bonnevillensis,quadrangulata,amphigena
Aloe,family,abelia,abrothallus,agrimony,bedstraw,cushion,Abies,acadiensis,cellulosa,medium,andina
Amaranth,Fern,Abert's,absconditella,airplant,belfry,gallina,Abietinella,acutiflora,sukaczewii,angustifolia
Araucaria,Gooseberry,abietenella,absonditella,albizzia,Bethlehem,hyssop,Abildgaardia,aequalis,aberrans,anserinum
Arum,Hat,abietinella,abutilon,alsinidendron,bindweed,lily,Abroma,aestivaliformis,abietinum,arcticus
Aster,Mangrove,aboriginal,acalypha,alsophila,brodiaea,mallow,Abronia,ajoensis,ablata,arcuifolia
Azolla,Mistletoe,Abrams',acanthus,amole,buckwheat,mariposa,Abrothallus,alaskanum,abortiva,arenaria
Balanophora,moss,abrothallus,acaulon,and,bush,Mary,Abrus,alata,abramsii,argentea
Banana,o'clock,abruptbeak,ackee,andreaeobryum,cabbage,mistletoe,Absconditella,algonquinensis,abrotanifolia,aspera
Barbados,Pipe,abrus,aconite,anemone,cactus,monkeyflower,Abutilon,alnea,absinthifolia,beeringianum
Barberry,Primrose,absconditella,acriopsis,angel,centaury,moss,Acacia,alpestris,absus,bernardina
Basella,Rush,absinthium,acroporium,angelica,cholla,orchid,Acaciella,alternifolium,abyssinicus,berryi
Bayberry,Tassel,Abyssinia,adenosma,apple,clover,paintbrush,Acaena,ambigua,acadiensis,bifida
Beech,Yew,Abyssinian,aenium,arnica,columbine,primrose,Acalypha,ananassa,acanthocarpa,bigelovii
Begonia,acacia,aeonium,arrowroot,comb,ramon,Acamptopappus,andrewsii,acaulis,borealis
Bellflower,Acadia,aerva,arum,Cruz,rue,Acanthocereus,anomala,accidens,callianthemus
Birch,acaena,African,aster,cryptantha,sierra,Acanthomintha,antipolitensis,achillaeoides,caput-medusae
Birthwort,acanthus,African-queen,ayenia,cueva,valley,Acanthospermum,aptera,achilleifolia,ceruminosa
Bittersweet,Acapulco,after,balm,de,weed,Acanthus,arctophila,acicularis,chamissonis
Borage,acaulon,afzelia,balsam,dodder,Acarospora,arcuatus,acrispum,dawsonii
,Bratt's,fellhanera,Casearia,aphelotaxifolius,erratica,
,Braun's,fendlerbush,Casimiroa,aphoroides,erubescens,
,braunia,fennel,Cassia,aphylla,erwiniae,
,Braunton's,fern,Cassine,aphyllum,escalantinus,
,Brazilian,Fernando,Cassiope,apiahica,esculenta,
,brazilnut,fescue,Cassipourea,apiculata,esculentus,
,Brazilwood,festulolium,Cassytha,apiculatopilosa,esmeraldense,
,Brazos,fever,Castalis,apiculatum,estesii,
,Brazos-mint,fiddleneck,Castanea,apiculatus,esula,
,breadfruit,fiddlewood,Castanopsis,apiifolia,eucosma,
,breadnut,field,Castela,apiomorpha,eupatorioides,
,Brenda's,fig,Castellia,apobasidialis,eurekense,
,Brewer's,filbert,Castilla,apodocarpa,ewanianum,
,breynia,fimbry,Castilleja,apodum,exaltatum,
,briar,finger,Casuarina,appalachensis,exaltatus,
,brickellbush,fingergrass,Catabrosa,appalachiana,excelsus,
,bridalveil,fingers,Catalpa,appalachica,exigua,
,bride's,finish,Catananche,appendiculata,exiguum,
,bridgotree,fir,Catapodium,appendiculatum,exilis,
,bridle,firebush,Catapyrenium,applanata,eximia,
,brigantiaea,firechalice,Catasetum,applegatei,eximium,
,brighamia,fireplant,Catesbaea,approximans,expansa,
,bright,fireweed,Catha,approximata,exserta,
,brightgreen,fishhook,Catharanthus,aprica,fagaroides,
,brisselet,fishtail,Cathestecum,apricum,falcata,
,bristle,fissidens,Catillaria,apus,fallax,
,bristlecone,five,Catinaria,aquariensis,farinosum,
,bristlecup,fivespot,Catolechia,aquatica,fascicularis,
,bristleflower,flag,Catopsis,aquaticum,fasciculata,
,bristlehead,flamboyant,Catoscopium,aquatilis,fasciculatum,
,bristleleaf,flannelbush,Cattleya,aquilonius,fasciculifolium,
,bristly,flat,Caucalis,arabica,fastigiatum,
,bristlyleaf,flatsedge,Caudalejeunea,arabicum,fauriei,
,bristlystalked,flavoparmelia,Caulanthus,arabiensis,favillianum,
,British,flavopunctelia,Caularthron,arabisans,felix,
,brittle,flax,Caulerpa,arachnifera,fendleri,
,brittlebush,flaxlily,Caulophyllum,arachnoidea,fendleriana,
,brittled,fleabane,Caulostramina,arachnoideum,fendlerianum,
,brittleleaf,flickingeria,Cavernularia,araneans,ferchelii,
,brittlescale,floating,Cayaponia,arapahoensis,fernaldiana,
,brittlestem,florestina,Cayratia,araucana,fernaldii,
,Britton's,Florida,Ceanothus,arborea,fernandina,
,broad,floripontio,Cecidonia,arborescens,ferox,
,broad-leaf,flower,Cecropia,arboreum,ferrisiae,
,broadbeaked,flowering,Cedrela,arboreus,ferronii,
,broadfruit,fly,Cedronella,arboricola,ferruginea,
,broadkeel,flymallow,Cedrus,arbuscula,ferrugineum,
,broadleaf,flytrap,Ceiba,arbutifolia,fibrosus,
,broadpetal,foldwing,Celastrus,arcana,filaginifolia,
,broadpod,fonio,Celmisia,arceutina,filicaulis,
,broadscale,fontinalis,Celosia,archangelica,filifolium,
,broadstemmed,foot,Celothelium,archangelicum,filifolius,
,broadtooth,foothill,Celtica,arcta,filiformis,
,broadvein,forastero,Celtis,arctata,filipes,
,broadwing,forchhammeria,Cenchrus,arctatus,fimbriata,
,broccoli,Forest,Centaurea,arctica,fimbriatum,
,brodiaea,forget-me-not,Centaurium,arcticum,finitimus,
,brodoa,forkedfern,Centella,arcticus,fissa,
,brome,forsythia,Centipeda,arctiformis,fitchii,
,brome-like,fourwing,Centotheca,arctocarpus,flaccidum,
,bromelia,fox,Centranthus,arctogena,flaccidus,
,brookfoam,foxglove,Centratherum,arctolimnius,fladnizensis,
,Brooks',foxtail,Centromadia,arcuata,flagellifera,
,broom,fragante,Centropodia,arcuatum,flava,
,broombush,Francisco,Centrosema,arcuatus,flavescens,
,broomsedge,frangula,Centrostegia,ardua,flavocincta,
,broomweed,frankincense,Cephaelis,arenacea,flavovirens,
,brosimum,frasera,Cephalanthera,arenaria,flavoviride,
,brothera,freckled,Cephalanthus,arenarioides,flavum,
,brotherella,freesia,Cephalaria,arenarium,flexicaule,
,Brouard's,freycinetia,Cephalocereus,arenarius,flexicum,
,broughtonia,fringed,Cephalophysis,arenicola,flexilipes,
,broussaisia,fringedgentian,Cephalotaxus,arenosa,flexuosa,
,broussonetia,fringetree,Cephalozia,areolatum,flexuosus,
,browallia,fritillary,Cephaloziella,aretioides,floccosum,
,brown,frog,Cerastium,argense,floccosus,
,brown-flower,fruit,Ceratiola,argentata,floribunda,
,brown-woolly,fryxellwort,Ceratocephala,argentatus,floribundus,
,Brown's,fuchsia,Ceratodon,argentea,floridana,
,Browne's,fumewort,Ceratolejeunea,argenteum,floridanus,
,browneyes,fumitory,Ceratonia,argenteus,floridus,
,brownfoot,funaria,Ceratophyllum,argillacea,florosa,
,brownhair,funnel,Ceratopteris,argillosa,focarium,
,brownish,furcraea,Ceratostigma,argillosum,foemina,
,brownmargin,fuschia,Ceratotheca,argillosus,foetida,
,brownray,Gabriel,Cerbera,argophylla,foliolosum,
,brownspine,galana,Cercidiphyllum,argophyllum,foliosa,
,brownspined,galangal,Cercidospora,argophyllus,foliosum,
,brownstem,galenia,Cercis,arguta,foliosus,
,browse,gallina,Cercocarpus,argyraea,fontanum,
,brucea,garcinia,Cereus,argyrantha,fontinale,
,bruchia,gardenia,Cerinthe,argyranthemus,forbesii,
,brugmansia,garlic,Ceriops,argyrea,formosa,
,bruguiera,gaymallow,Ceropegia,argyrinea,formosum,
,Bruneau,geheebia,Ceroxylon,argyrocoma,formosus,
,brunellia,geigertree,Cestrum,argyrograpta,fortunei,
,brunfelsia,gem,Cetraria,argyrolobioides,fragile,
,brunnera,geniostoma,Cetrariella,arida,fragilis,
,brushpea,gentian,Cetrelia,aridum,franciscana,
,brussels,geranium,Cevallia,aridus,franciscanum,
,Bryan's,ghatti,Chaenactis,arietina,franciscensis,
,Bryce,giant,Chaenomeles,arietinum,franklinii,
,bryhnia,gigante,Chaenorhinum,arisolius,franktonii,
,bryoandersonia,gila,Chaenotheca,aristata,fraseri,
,bryobrittonia,gilia,Chaenothecopsis,aristatum,fraterniflora,
,bryocaulon,gilyflower,Chaerophyllum,aristatus,fremontii,
,bryocrumia,gimlet,Chaetadelpha,aristidea,friesiana,
,bryoerythrophyllum,ginger,Chaetopappa,aristidoides,frigida,
,bryohaplocladium,ginseng,Chaiturus,aristosa,frutescens,
,bryoid,girl,Chamaebatia,aristosum,fruticosa,
,bryonora,glade,Chamaebatiaria,aristulatum,fuegianum,
,bryony,gladiolus,Chamaechaenactis,arizonica,fulcrata,
,bryoxiphium,glasswort,Chamaecrista,arizonicum,fulgida,
,Bryson's,globethistle,Chamaecyparis,arizonicus,fulvidus,
,bryum,glochidion,Chamaecytisus,arkansana,fulvocanescens,
,btachesked,glorybower,Chamaedaphne,arkansanum,funerea,
,bucayo,goat,Chamaedorea,armandii,furcata,
,buchanania,goat's,Chamaelirium,armata,furcosum,
,buchenavia,goatbush,Chamaemelum,armatum,fuscescens,
,buchu,goatgrass,Chamaerhodos,armeria,fusiformis,
,bucida,goblin,Chamaerops,armittii,gabrielense,
,buck-horn,gold,Chamaesaracha,arnoldiana,galilai,
,buckbrush,golden,Chamaesyce,arnoldianum,gallinula,
,buckeye,goldenaster,Chamelaucium,arnoldii,gambiae,
,buckhorn,goldenbush,Chamerion,arnottiana,garrettii,
,buckleya,goldenhead,Chamissoa,aromatica,gaspensis,
,buckthorn,goldenrod,Chandonanthus,aromaticum,gatense,
,buckwheat,goldenstar,Chapmannia,arrectus,gattingeri,
,buelliella,goldentop,Chaptalia,arrogans,gaudichaudii,
,buff,goldshower,Charpentiera,artemisiifolia,gayana,
,buffalo,goldthread,Chasmanthe,arthonioides,gemmata,
,Buffalo-Spinach,golf,Chasmanthium,arthurii,gemmifera,
,buffalograss,gooseberry,Cheilanthes,articulata,geniculata,
,bugle,goosefoot,Cheilolejeunea,articulatum,geniculatus,
,bugloss,goosegrass,Cheiridopsis,articulatus,gentilis,
,buglossoides,gopherweed,Cheirodendron,artuata,georgiana,
,bugseed,Gorge,Cheiroglossa,artyta,germanicum,
,bulangan,gorgon,Cheirostylis,arundinacea,gertrudis,
,bulbil,gourd,Chelidonium,arundinaceum,geyeri,
,bulblet,gousblom,Chelone,arundinaceus,gibsonii,
,bulblet-bearing,goutweed,Chenopodium,arvense,gigantea,
,bulbophyllum,graciosa,Chilopsis,arvensis,giganteum,
,bulbothrix,grama,Chiloschista,arvernensis,gigas,
,bulbous,Grande,Chiloscyphus,asagrayana,gilioides,
,bull,grandmother,Chimaphila,asahinae,gilmanii,
,bull-oak,grape,Chiococca,asarifolia,gilviflorus,
,Bull's,grapefern,Chiodecton,ascalonicum,glabella,
,bullatina,grass,Chionanthus,ascendens,glabellus,
,bullhorn,grasspink,Chione,asclepiadoides,glaber,
,bullich,gray,Chionodoxa,ashbyi,glaberrimum,
,bulrush,graygum,Chionophila,ashei,glaberrimus,
,bumpy,greasebush,Chionosphaera,asiatica,glabra,
,bunch,great,Chiranthodendron,asiaticum,glabrata,
,bunchberry,green,Chloracantha,asparagoides,glabratum,
,bundleflower,greenbright,Chloris,asper,glabratus,
,Bunge's,greeneyes,Chlorocrambe,aspera,glabrescens,
,bunya,greentwig,Chlorogalum,asperata,glabrifolia,
,bupleurum,greenweed,Chlorophora,aspericaulis,glabrifolium,
,bupleurum-leaved,gregre,Chlorophytum,asperifolia,glabrior,
,bur,grey,Choerospondias,asperifolius,glabrius,
,bur-reed,gromwell,Choisya,asperrima,glabriuscula,
,burdock,groundcone,Chondrilla,asperugineus,glabriusculum,
,burhead,groundsmoke,Chondrodendron,asperula,glabrum,
,Burk's,Grove,Chonecolea,asperulum,glacialis,
,Burlew's,grovebur,Chorisia,asperum,glandulifera,
,Burmese,gu,Chorisiva,aspidota,glandulosa,
,burn,guava,Chorispora,aspleniifolia,glandulosum,
,burningbush,guave,Chorizanthe,asplenioides,glandulosus,
,burnweed,guinea,Christia,asprella,glareosa,
,burr,Gulch,Christolea,asprellum,glareosus,
,burrdock,gum,Chromatochlamys,assa-foetida,glauca,
,burro,gut,Chromolaena,assamica,glaucescens,
,burrobush,ha'a,Chrozophora,assimile,glaucifolia,
,bursera,hackberry,Chrysactinia,assimilis,glaucomollis,
,bursting-heart,hacksaw,Chrysanthellum,assiniboinensis,glaucophylla,
,buryseed,hair,Chrysanthemum,assulata,glaucum,
,bush,hairgrass,Chryso-hypnum,asterias,glaucus,
,bush-violet,hairsedge,Chrysobalanus,astericus,globifera,
,Bush's,hairy,Chrysogonum,asterocarpa,globosa,
,bushclover,Hamilton,Chrysolepis,asteroides,globulus,
,bushkiller,hammock,Chrysoma,asterophora,glomerata,
,bushloving,hard,Chrysophyllum,astringens,glomeratus,
,bushweed,hare,Chrysopogon,astroites,gloriosa,
,bushy,harebell,Chrysopsis,astroplethos,gloriosus,
,butea,haresfoot,Chrysosplenium,astyla,glutinosa,
,Butler's,harlequin,Chrysothamnus,asymmetrica,glutinosum,
,butomus,hat,Chrysothemis,asymmetricus,gnaphalifolium,
,Butte,Haven,Chrysothrix,atacamensis,gnaphalodes,
,buttecandle,haw,Chusquea,ater,goldmanii,
,butterbough,Hawai'i,Cibotium,athallina,gongylodes,
,butterfly,hawksbeard,Cicendia,atherodes,goniantha,
,butterflybush,hawthorn,Cicer,athrostachya,goodmanii,
,Butterworth's,hayscented,Cichorium,atlantica,gormanii,
,button,hazel,Cicuta,atomaria,gossypina,
,buttonbush,hazelnut,Cienfuegosia,atoto,gracile,
,buttongrass,head,Cinchona,atractyloides,gracilescens,
,buttonia,heart,Cinclidium,atrata,gracilior,
,buttonweed,heath,Cineraria,atratiformis,gracilis,
,Buxbaum's,heather,Cinna,atratus,gracillima,
,buxbaumia,heathgrass,Cinnamomum,atribarba,gracillimum,
,Byron,hedgehog,Circaea,atriplicifolia,graminifolia,
,byrsonima,Heermann's,Cirriphyllum,atriplicifolium,grande,
,byssoloma,Heim's,Cirsium,atroabla,grandibracteata,
,cabbage,helleborine,Cissampelos,atrococca,grandidentatum,
,cabbagebark,helmet,Cissus,atroflava,grandiflora,
,cabellos,helmetorchid,Cistanthe,atrofusca,grandiflorum,
,cabra,hemlock,Cistus,atronivea,grandiflorus,
,caca,hemlockparsley,Citharexylum,atropilosulus,grandis,
,cacaliopsis,hemp,×Citrofortunella,atropioides,graniticum,
,Cache,hempnettle,×Citroncirus,atropubescens,grantiana,
,cachiyuyo,herb,Citrullus,atropurpurea,granulosum,
,cactus,herrickia,Citrus,atropurpureum,gratissima,
,cadaba,hickory,Cladidium,atropurpureus,gravida,
,Caddo,hideseed,Cladina,atrorubens,grayana,
,cadillo,Hill,Cladium,atrosanguinea,grayanum,
,caelogyne,Hills,Cladonia,atrosquama,greeleyorum,
,cafe,hobblebush,Cladopodiella,atroviolaceum,greenei,
,cafeillo,Hoffmann's,Cladoraphis,atrovirens,gregaria,
,Cahaba,hogpeanut,Cladrastis,attendenda,greggii,
,caimitillo,hogplum,Claopodium,attenuata,grimesiana,
,Cain's,hogwood,Claoxylon,attenuatus,grimsulana,
,Cainville,hogwort,Clappertonia,atticus,griscomii,
,cajanus,holdback,Clappia,atwoodii,grisea,
,caladium,Hole,Clarkia,aubertii,groenlandica,
,calamint,Holland,Clasmatodon,aucheri,gronovii,
,calammophila,holly,Clathroporina,auerswaldii,grosseserrata,
,calamondin,hollyfern,Clausena,augustinii,gullickii,
,calamus,honewort,Clauzadea,augustum,gunnisonii,
,calappa,honeycombhead,Clauzadeana,auleticus,gurneyi,
,calathea,honeylocust,Claytonia,aurantia,gypsogenus,
,calcareous,honeysuckle,Cleidion,aurantiaca,gypsophilum,
,calcium-hating,honeytree,Cleisostoma,aurantiacum,gyrans,
,Calder's,Hood,Cleistachne,aurantiacus,hachijoensis,
,calibrachoa,hooded,Cleistanthus,aurea,haleakalaensis,
,Caliche,hop,Cleistes,aurella,halictorum,
,calicoflower,hopbush,Cleistocactus,aureola,halimioides,
,calicoplant,horehound,Cleistogenes,aureolensis,hallii,
,California,horn,Clematis,aureopunctatum,halophilum,
,Calistoga,hornbeam,Cleome,aurescens,halophilus,
,Call's,horned,Cleomella,aureum,hamatacanthus,
,callaeum,hornpoppy,Clermontia,aureus,hamatiflora,
,Callahan's,hornwort,Clerodendrum,auricularia,hammondiae,
,callalily,horse,Clethra,auriculata,hamulata,
,Callaway,horse-chestnut,Cleyera,auriculatum,hanaensis,
,callicladium,horsebalm,Clianthus,auriculatus,hanaleiensis,
,callicostella,horsehair,Clibadium,auriculiformis,hanapepensis,
,calliergon,horsetail,Clidemia,auriforme,hansenii,
,calliergonella,horseweed,Cliftonia,aurita,harperi,
,callingcard,horsewhip,Climacium,auritum,harringtonii,
,Calliscirpus,Hot,Clinopodium,austiniae,harrisii,
,callistephus,hound's,Clintonia,australasica,harticum,
,caloncoba,houses,Cliostomum,australasicum,hartwegiana,
,calopadia,Houtte's,Clitoria,australe,hartwegii,
,calophyllum,Hoyt,Clivia,australiensis,harveyana,
,calopo,huang,Clusia,australis,harwoodii,
,calopogonium,huckleberry,Clypeococcum,austriaca,hassei,
,calotis,Humboldt,Cnemidaria,austriacum,hastata,
,calotropis,Huron,Cneoridium,austriacus,hausknechtii,
,calthaleaf,hyacinth,Cnicus,austrina,hawaiensis,
,calycera,hyacinth-orchid,Cnidium,austroalpina,haydenianus,
,calycocarpum,hybrid,Cnidoscolus,austrocaroliniana,hearstiorum,
,calycophyllum,hyssop,Coccinia,austrodeflexa,heermannii,
,calymperes,iceplant,Coccocarpia,austrofrigidum,heimburgeri,
,calyptocarpus,Idaho,Coccocypselum,austromontana,heimii,
,camas,ilang-ilang,Coccoloba,austrooccidentalis,heleonastes,
,camasey,iloron,Coccothrinax,austrotexana,heliophila,
,Camatta,immortelle,Coccotrema,autumnale,helleri,
,Camden,in,Cocculus,autumnalis,helleriana,
,camel,inchplant,Cochleanthes,avellana,hemigyrus,
,camel's,Indian,Cochlearia,avenacea,hendersonii,
,camellia,Indianmallow,Cochlidium,avenaceum,henneana,
,camelthorn,Indies,Cochlospermum,avenoides,hepaticoideum,
,camito,indigo,Cocos,avita,hepburnii,
,camphor,indigobush,Codariocalyx,avonensis,heracleoides,
,camphortree,inflated,Codiaeum,awapensis,herbacea,
,campnosperma,ipecac,Codonopsis,axel-blyttii,herbaceum,
,Campo,iris,Coelogyne,axillare,herbstii,
,campsis,ironbark,Coelorachis,axillaris,hermannii,
,camptotheca,ironbox,Coenogonium,axilliflorus,hermaphroditum,
,campylium,ironweed,Coffea,axyrioides,hesperia,
,campylopodiella,ironwood,Coincya,azarolus,hesperium,
,campylopus,Island,Coix,azurea,hesseae,
,campylostelium,ivy,Cojoba,babylonica,heteracantha,
,camwood,ixia,Cola,baccans,heterocarpha,
,cana,Jacinto,Colchicum,baccata,heterocarpon,
,Canada,Jack,Coleanthus,baccatum,heteroneura,
,Canadian,jackbean,Coleogyne,baccharidea,heterophylla,
,canarina,Jackson,Coleus,baccifera,heterophyllum,
,Canary,jamaican,Collema,bachmanianum,heterosepala,
,canarybird-bush,jane,Colletia,bacigalupii,heterotricha,
,Canby's,jasmine,Collinsia,bacillaris,hevronii,
,cancer-root,jayuya,Collinsonia,bacilliformis,hexandra,
,candelabra,jelly,Collomia,backhousiana,heywoodii,
,candelilla,Jersey,Colocasia,backii,hieraciifolius,
,candelina,jessamine,Cologania,badia,higginsii,
,candle,jeweled,Cololejeunea,badiofusca,hilendiae,
,candlebark,Joaquin,Colona,badius,hillebrandiana,
,candleholder,joe,Colophospermum,badjensis,hillebrandii,
,candletree,John's,Colubrina,baducca,himalayensis,
,candy,johnny-nip,Columbia,baeomyces,hinckleyana,
,cane,joint-vetch,Columbiadoria,baeuerlenii,hinckleyi,
,canebrake,jointfir,Columnea,baffinensis,hirsuta,
,canelillo,jointtail,Colutea,bagliettoana,hirsutior,
,canereed,jointvetch,Comandra,bahamensis,hirsutissima,
,canihua,Jones',Comarostaphylis,bahiensis,hirta,
,canna,jopoy,Comarum,baileyana,hirtella,
,cannonball,joyweed,Combretum,baileyi,hirtellus,
,canoe,Juan,Commelina,bakeri,hirtipes,
,canoparmelia,July,Commersonia,balansae,hirtulum,
,canotia,junco,Commiphora,baldwinii,hispanica,
,cantala,Junction,Comocladia,balearica,hispida,
,cantaloupe,justiceweed,Comparettia,balsamea,hispidula,
,Canterbury,jute,Comptonia,balsamifera,hispidulosa,
,cantua,Kaala,Conardia,balsamitifolia,hispidulum,
,canyon,Kahili,Condalia,baltica,hispidus,
,Canyonlands,kala,Condylidium,baltimorensis,hoeferi,
,cap,kale,Congea,baltzellii,hoffmannii,
,caparosa,karata,Conicosia,bambos,holboellii,
,Cape,kauilatree,Conimitella,bancroftii,hololeuca,
,Cape-chestnut,kauri,Coniocybe,banksii,hololeucum,
,Cape-ivy,ke'oke'o,Coniogramme,bannaticus,holzingeri,
,caper,Kea,Conioselinum,barbadensis,hookeri,
,Capeweed,keeper,Conium,barbara,hookeriana,
,capillary,kepau,Connarus,barbarae,hookerianum,
,capitate,Kern,Conocarpus,barbata,hooveri,
,capraria,kerosene,Conocephalum,barbatum,hordeaceus,
,capsella,Key,Conoclinium,barbatus,hordeoides,
,cara,keyflower,Conopholis,barbellata,horizontalis,
,Caracas,Keys,Conostegia,barbellulatus,horizonthalonius,
,caralluma,kidneyvetch,Conostomum,barberi,hornemannii,
,carambola,kidneywood,Conotrema,barbeyi,horridulum,
,carapa,kihifern,Conradina,barbiculmis,hosackiae,
,caraway,King,Conringia,barbigera,howardii,
,carbonea,kingcup,Consolea,barbigerum,howei,
,cardamom,kino,Consolida,barbinodis,howellii,
,cardinal's,kisses,Constancea,barcensis,hugeri,
,cardionema,knapweed,Convallaria,barclayana,humboldtiensis,
,cardón,knight's-spur,Convolvulus,barnebyi,humilis,
,cardoon,Knob,Conyza,barrattii,humilius,
,Cardot's,kochia,Cooperia,barrelieri,humistratum,
,carelessweed,kokee,Copaifera,barrii,humistratus,
,Carey's,kola,Copernicia,bartonii,humivagans,
,Caribbean,Kong,Coprosma,bartonioides,humptulipensis,
,Caribgrass,kumquat,Coptis,bartramia,huntiana,
,carica,kurrajong,Corallorhiza,bartramiana,hyacinthoides,
,carissa,la,Corchoropsis,bartsiifolia,hyalina,
,Carleton's,lacefern,Corchorus,basalis,hydrophilum,
,carline,laceleaf,Cordia,basalticum,hylophilus,
,Carlott's,ladies'-tresses,Cordyla,basalticus,hyperborea,
,Carlquist's,lady's,Cordylanthus,baselloides,hypnoides,
,Carlson's,lady's-mantle,Cordyline,basiantha,hypochlorus,
,carludovica,ladyfern,Corema,basiramea,hypochondriacus,
,Carmel,ladyslipper,Coreocarpus,bastardii,hypoleium,
,Carmichael's,Lake,Coreopsis,batalinii,hypoleucum,
,carmichaelia,Lakes,Corethrogyne,batemanii,hypomalacum,
,carminatia,lambsquarters,Coriandrum,batocaulon,hypotrichium,
,carnation,land,Corispermum,baueri,hyssopifolia,
,carnauba,lantern,Cornicularia,baxteri,hyssopifolium,
,Carnegie's,large,Cornus,beadlei,hyssopifolius,
,caro,larkspur,Cornutia,beata,hystricina,
,Carolina,Lassen,Cornutispora,beathii,hystrix,
,Caroline,latesummer,Coronilla,beatleyae,ibericus,
,carpet,lau,Coronopus,beaumontii,icmadophilus,
,carpetgrass,laurel,Correa,bebbii,idahoensis,
,carpobrotus,lawngrass,Corrigiola,beccarii,idriensis,
,carpon,Lawrence,Corryocactus,beckeri,ifniensis,
,Carr's,leadwood,Corsinia,beckettii,imbricata,
,carrasco,leaf,Cortaderia,beckhausii,immaculata,
,carretilla,leafy,Corticifraga,beckii,immemora,
,Carrizo,leafystem,Corydalis,beckleri,imperfectus,
,carrot,leastdaisy,Corylopsis,beckwithii,imperialis,
,carrotwood,leather,Corylus,beecheyana,impressa,
,Carruth's,leatherfern,Corymbia,beecheyi,impressus,
,Carson,leatherwood,Corymborkis,beeringianum,imula,
,Cartagena,leechbush,Corynephorus,behriana,inaequalis,
,Carter's,leek,Corynocarpus,bella,incana,
,carum,Lemmon's,Coryphantha,bella-donna,incanum,
,carveseed,lemon,Coscinodon,belladonna,incanus,
,caryocar,lemonhead,Cosmos,bellidiastrum,incarnata,
,caryopteris,leopardbane,Costus,bellidiflora,incerta,
,casasia,lettuce,Cotinus,bellidifolia,incisa,
,cascabelillo,li,Cotoneaster,bellidifolium,incisum,
,Cascade,lichen,Cottea,bellidifolius,inclinata,
,Cascades,licorice,Cotula,bellioides,incompta,
,Cascara,lidflower,Cotyledon,bellonis,inconspicuum,
,cascarilla,lignumvitae,Couroupita,benedictus,increscens,
,Case's,lilac,Coursetia,benghalensis,incultum,
,casearia,lily,Crambe,benitensis,incurviformis,
,cashew,lily-of-the-valley,Cranichis,benjamina,indecora,
,caskfruit,lilythorn,Craniolaria,benthamii,indica,
,cassia,limbo,Crassocephalum,bentleyi,indictum,
,cassine,lime,Crassula,berberifolia,indochinensis,
,cassipourea,limestone,Crataegus,beringensis,ineptus,
,cassytha,lineleaf,Craterostigma,beringica,inerme,
,castalis,lineseed,Crateva,berlandieri,inermis,
,castela,lipfern,Cratoneuron,berlandieriana,inexpansa,
,Castetter's,little,Crepidium,bermudense,inferalpina,
,castilla,liveforever,Crepis,bernardinus,inflata,
,castilloa,livingrock,Crescentia,berroi,inflatum,
,Castle,livingvase,Cresponea,berteriana,inophyllum,
,castrate,Loa,Cressa,berteroana,inops,
,cat's,Loc,Crinum,berteroanus,inornatus,
,Catalina,loco,Critonia,berteroi,insalutata,
,catalpa,locoweed,Crocidium,berteroniana,inseptus,
,catasetum,locust,Crocosmia,bertianus,insperata,
,Catawba,Lomond,Crocus,betacea,insulana,
,catbells,London,Crocynia,betchei,insulare,
,catch,long,Croomia,betonicifolia,insularis,
,catchfly,long-leaved,Croptilon,betonicifolium,insulicola,
,catclaw,longlegs,Crossandra,bettzichiana,integra,
,catechu,looseflower,Crossidium,betulifolia,integrifolia,
,Catesby's,loosestrife,Crossopetalum,betulina,integrifolium,
,catha,lopleaf,Crossosoma,betulinus,integrior,
,Cathedral,lords,Crotalaria,betulus,intercedens,
,catillaria,Louise,Croton,beyeri,intercursa,
,catinaria,lovegrass,Crucianella,beyrichiana,interior,
,Catling's,Lucia,Cruciata,beyrichii,interius,
,catolechia,Lucy,Crudia,bialynickii,interjecta,
,cattail,Luis,Crumia,biatorina,intermedia,
,cattle,madeiravine,Crupina,bibullatus,intermedium,
,cattleya,Madre,Crusea,bicarinata,intermedius,
,Caucasian,madrone,Cryphaea,bicknellii,intermontana,
,caucho,madwort,Crypsis,bicolor,intermontanum,
,Caughuawaga,mahogany,Cryptantha,bicornis,intertextus,
,caulerpa,maidencane,Cryptocarya,bicornuta,intonsa,
,caulostramina,maidenhair,Cryptocolea,bicornutum,introgressa,
,cayenne,mallee,Cryptocoryne,bicornutus,intumescens,
,Cayouette's,mallee-ash,Cryptogramma,bicristatus,inundata,
,cayratia,mallet,Cryptolechia,bicuspidata,inverta,
,ceanothus,mallow,Cryptomeria,biddlecomiae,involucrata,
,cecidonia,man's,Cryptomitrium,bidens,inyoense,
,Cecilia's,manamana,Cryptostegia,bidentata,iodandra,
,cedar,manfern,Cryptotaenia,bidentis,iodanthus,
,Cedars,mangrove,Cryptothallus,bidentoides,ipadu,
,cedrela,manjack,Cryptothecia,bidwillii,irrigua,
,cedronella,mannagrass,Cryptothele,biebersteinii,ischaemum,
,Cedros,mansa,Ctenidium,biennis,islandica,
,ceiba,mantle,Ctenitis,bietii,isophyllum,
